id_experiencia,dataset,camadas_ocultas,neuronios_por_camada,ativacao,parametros,accuracy_teste,loss_teste
E01,make_moons,2,8,tanh,105,0.9039999842643738,0.20265509188175201
E05,make_circles,2,8,tanh,105,0.9120000004768372,0.22765927016735077
